"date","geoRegion","entries","pop","sumTotal","per100Persons","per100PersonsTotal","type","version","granularity"
2021-01-14,"AI",5,16128,564,0.03,3.5,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-15,"AI",24,16128,588,0.15,3.65,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-16,"AI",0,16128,588,0,3.65,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-17,"AI",0,16128,588,0,3.65,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-18,"AI",50,16128,638,0.31,3.96,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-19,"AI",132,16128,770,0.82,4.77,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-20,"AI",72,16128,842,0.45,5.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-21,"AI",42,16128,884,0.26,5.48,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-22,"AI",62,16128,946,0.38,5.87,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-23,"AI",0,16128,946,0,5.87,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-24,"AI",0,16128,946,0,5.87,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-25,"AI",25,16128,971,0.16,6.02,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-26,"AI",131,16128,1102,0.81,6.83,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-27,"AI",0,16128,1102,0,6.83,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-28,"AI",6,16128,1108,0.04,6.87,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-29,"AI",10,16128,1118,0.06,6.93,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-30,"AI",0,16128,1118,0,6.93,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-31,"AI",0,16128,1118,0,6.93,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-01,"AI",23,16128,1141,0.14,7.07,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-02,"AI",151,16128,1292,0.94,8.01,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-03,"AI",54,16128,1346,0.33,8.35,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-04,"AI",35,16128,1381,0.22,8.56,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-05,"AI",57,16128,1438,0.35,8.92,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-06,"AI",0,16128,1438,0,8.92,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-07,"AI",0,16128,1438,0,8.92,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-08,"AI",41,16128,1479,0.25,9.17,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-09,"AI",111,16128,1590,0.69,9.86,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-10,"AI",92,16128,1682,0.57,10.43,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-11,"AI",0,16128,1682,0,10.43,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-12,"AI",49,16128,1731,0.3,10.73,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-13,"AI",0,16128,1731,0,10.73,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-14,"AI",0,16128,1731,0,10.73,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-15,"AI",64,16128,1795,0.4,11.13,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-16,"AI",132,16128,1927,0.82,11.95,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-17,"AI",71,16128,1998,0.44,12.39,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-18,"AI",71,16128,2069,0.44,12.83,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-19,"AI",60,16128,2129,0.37,13.2,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-20,"AI",0,16128,2129,0,13.2,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-21,"AI",0,16128,2129,0,13.2,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-23,"AR",0,55445,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-24,"AR",0,55445,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-25,"AR",0,55445,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-26,"AR",0,55445,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-27,"AR",0,55445,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-28,"AR",0,55445,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-29,"AR",0,55445,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-30,"AR",2,55445,2,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-31,"AR",0,55445,2,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-01,"AR",0,55445,2,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-02,"AR",0,55445,2,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-03,"AR",0,55445,2,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-04,"AR",88,55445,90,0.16,0.16,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-05,"AR",213,55445,303,0.38,0.55,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-06,"AR",151,55445,454,0.27,0.82,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-07,"AR",198,55445,652,0.36,1.18,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-08,"AR",25,55445,677,0.05,1.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-09,"AR",0,55445,677,0,1.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-10,"AR",0,55445,677,0,1.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-11,"AR",0,55445,677,0,1.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-12,"AR",0,55445,677,0,1.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-13,"AR",0,55445,677,0,1.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-14,"AR",0,55445,677,0,1.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-15,"AR",0,55445,677,0,1.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-16,"AR",0,55445,677,0,1.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-17,"AR",0,55445,677,0,1.22,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-18,"AR",220,55445,897,0.4,1.62,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-19,"AR",340,55445,1237,0.61,2.23,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-20,"AR",339,55445,1576,0.61,2.84,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-21,"AR",373,55445,1949,0.67,3.52,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-22,"AR",84,55445,2033,0.15,3.67,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-23,"AR",0,55445,2033,0,3.67,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-24,"AR",0,55445,2033,0,3.67,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-25,"AR",476,55445,2509,0.86,4.53,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-26,"AR",321,55445,2830,0.58,5.1,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-27,"AR",283,55445,3113,0.51,5.61,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-28,"AR",180,55445,3293,0.32,5.94,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-29,"AR",305,55445,3598,0.55,6.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-30,"AR",0,55445,3598,0,6.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-31,"AR",0,55445,3598,0,6.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-01,"AR",0,55445,3598,0,6.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-02,"AR",0,55445,3598,0,6.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-03,"AR",0,55445,3598,0,6.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-04,"AR",0,55445,3598,0,6.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-05,"AR",0,55445,3598,0,6.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-06,"AR",0,55445,3598,0,6.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-07,"AR",0,55445,3598,0,6.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-08,"AR",196,55445,3794,0.35,6.84,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-09,"AR",0,55445,3794,0,6.84,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-10,"AR",2,55445,3796,0,6.85,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-11,"AR",0,55445,3796,0,6.85,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-12,"AR",47,55445,3843,0.08,6.93,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-13,"AR",0,55445,3843,0,6.93,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-14,"AR",0,55445,3843,0,6.93,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-15,"AR",367,55445,4210,0.66,7.59,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-16,"AR",182,55445,4392,0.33,7.92,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-17,"AR",320,55445,4712,0.58,8.5,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-18,"AR",276,55445,4988,0.5,9,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-19,"AR",117,55445,5105,0.21,9.21,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-20,"AR",0,55445,5105,0,9.21,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-21,"AR",0,55445,5105,0,9.21,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-23,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-24,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-25,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-26,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-27,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-28,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-29,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-30,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-31,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-01,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-02,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-03,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-04,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-05,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-06,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-07,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-08,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-09,"BE",0,1039474,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-10,"BE",2,1039474,2,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-11,"BE",583,1039474,585,0.06,0.06,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-12,"BE",752,1039474,1337,0.07,0.13,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-13,"BE",810,1039474,2147,0.08,0.21,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-14,"BE",1095,1039474,3242,0.11,0.31,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-15,"BE",1177,1039474,4419,0.11,0.43,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-16,"BE",1,1039474,4420,0,0.43,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-17,"BE",0,1039474,4420,0,0.43,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-18,"BE",1682,1039474,6102,0.16,0.59,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-19,"BE",1793,1039474,7895,0.17,0.76,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-20,"BE",2051,1039474,9946,0.2,0.96,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-21,"BE",2227,1039474,12173,0.21,1.17,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-22,"BE",2190,1039474,14363,0.21,1.38,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-23,"BE",0,1039474,14363,0,1.38,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-24,"BE",2,1039474,14365,0,1.38,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-25,"BE",1842,1039474,16207,0.18,1.56,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-26,"BE",1922,1039474,18129,0.18,1.74,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-27,"BE",2029,1039474,20158,0.2,1.94,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-28,"BE",2085,1039474,22243,0.2,2.14,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-29,"BE",2206,1039474,24449,0.21,2.35,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-30,"BE",190,1039474,24639,0.02,2.37,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-31,"BE",0,1039474,24639,0,2.37,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-01,"BE",2235,1039474,26874,0.22,2.59,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-02,"BE",2356,1039474,29230,0.23,2.81,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-03,"BE",2232,1039474,31462,0.21,3.03,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-04,"BE",2099,1039474,33561,0.2,3.23,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-05,"BE",2025,1039474,35586,0.19,3.42,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-06,"BE",31,1039474,35617,0,3.43,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-07,"BE",0,1039474,35617,0,3.43,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-08,"BE",2105,1039474,37722,0.2,3.63,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-09,"BE",2459,1039474,40181,0.24,3.87,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-10,"BE",2806,1039474,42987,0.27,4.14,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-11,"BE",3130,1039474,46117,0.3,4.44,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-12,"BE",4436,1039474,50553,0.43,4.86,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-13,"BE",434,1039474,50987,0.04,4.91,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-14,"BE",73,1039474,51060,0.01,4.91,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-15,"BE",3764,1039474,54824,0.36,5.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-16,"BE",4414,1039474,59238,0.42,5.7,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-17,"BE",3877,1039474,63115,0.37,6.07,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-18,"BE",4715,1039474,67830,0.45,6.53,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-19,"BE",3905,1039474,71735,0.38,6.9,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-20,"BE",105,1039474,71840,0.01,6.91,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-21,"BE",30,1039474,71870,0,6.91,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-23,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-24,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-25,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-26,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-27,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-28,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-29,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-30,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-31,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-01,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-02,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-03,"FL",0,38747,0,0,0,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-04,"FL",2,38747,2,0.01,0.01,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-05,"FL",0,38747,2,0,0.01,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-06,"FL",3,38747,5,0.01,0.01,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-07,"FL",1,38747,6,0,0.02,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-08,"FL",0,38747,6,0,0.02,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-09,"FL",0,38747,6,0,0.02,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-10,"FL",0,38747,6,0,0.02,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-11,"FL",0,38747,6,0,0.02,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-12,"FL",5,38747,11,0.01,0.03,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-13,"FL",0,38747,11,0,0.03,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-14,"FL",0,38747,11,0,0.03,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-15,"FL",0,38747,11,0,0.03,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-16,"FL",0,38747,11,0,0.03,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-17,"FL",0,38747,11,0,0.03,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-18,"FL",105,38747,116,0.27,0.3,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-19,"FL",75,38747,191,0.19,0.49,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-20,"FL",55,38747,246,0.14,0.63,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-21,"FL",66,38747,312,0.17,0.81,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-22,"FL",30,38747,342,0.08,0.88,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-23,"FL",0,38747,342,0,0.88,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-24,"FL",0,38747,342,0,0.88,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-25,"FL",75,38747,417,0.19,1.08,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-26,"FL",45,38747,462,0.12,1.19,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-27,"FL",0,38747,462,0,1.19,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-28,"FL",188,38747,650,0.49,1.68,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-29,"FL",190,38747,840,0.49,2.17,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-30,"FL",0,38747,840,0,2.17,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-31,"FL",0,38747,840,0,2.17,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-01,"FL",0,38747,840,0,2.17,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-02,"FL",0,38747,840,0,2.17,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-03,"FL",5,38747,845,0.01,2.18,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-04,"FL",0,38747,845,0,2.18,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-05,"FL",0,38747,845,0,2.18,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-06,"FL",0,38747,845,0,2.18,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-07,"FL",0,38747,845,0,2.18,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-08,"FL",105,38747,950,0.27,2.45,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-09,"FL",74,38747,1024,0.19,2.64,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-10,"FL",53,38747,1077,0.14,2.78,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-02-11,"FL",65,38747,1142,0.17,2.95,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
